layer,fro_change,relative_change,feat_dim,full_rank,stable_rank,participation_ratio,effective_rank,dim_90,dim_95
base_model.model.backbone.stages.2.blocks.1.attn,1497.4444580078125,0.22747506201267242,1408,1280,5.775506019592285,15.33481216430664,35.011497497558594,44,77
base_model.model.backbone.stages.2.blocks.1.ffn,1280.8328857421875,0.23081448674201965,1408,1280,5.87850284576416,18.028480529785156,50.518394470214844,74,141
base_model.model.backbone.stages.2.blocks.1,408.2549133300781,0.40523767471313477,1408,1280,7.661551475524902,22.268667221069336,58.17734909057617,86,166
base_model.model.backbone.stages.2.blocks.2.attn,1764.8577880859375,0.35021689534187317,1408,1280,6.487089157104492,18.843223571777344,46.014686584472656,62,109
base_model.model.backbone.stages.2.blocks.2.ffn,1651.71240234375,0.3243151903152466,1408,1280,5.647397518157959,18.245376586914062,54.419883728027344,84,160
base_model.model.backbone.stages.2.blocks.2,613.5099487304688,0.4597228765487671,1408,1280,7.155301570892334,22.259078979492188,63.33952331542969,102,198
base_model.model.backbone.stages.2.blocks.3.attn,2329.70458984375,0.39133015275001526,1408,1280,6.436358451843262,17.693286895751953,44.80082321166992,62,109
base_model.model.backbone.stages.2.blocks.3.ffn,2151.644775390625,0.4876413345336914,1408,1280,5.018529415130615,16.275436401367188,53.08012008666992,90,170
base_model.model.backbone.stages.2.blocks.3,882.3880004882812,0.4210669696331024,1408,1280,7.025002956390381,22.183246612548828,64.99746704101562,112,212
base_model.model.backbone.stages.2.blocks.4.attn,2686.610107421875,0.5586521625518799,1408,1280,8.593925476074219,21.93644142150879,55.11791229248047,83,142
base_model.model.backbone.stages.2.blocks.4.ffn,3105.848388671875,0.8513175845146179,1408,1280,4.106980800628662,12.332300186157227,43.49234390258789,80,156
base_model.model.backbone.stages.2.blocks.4,1683.7196044921875,0.5622684955596924,1408,1280,5.581643581390381,18.13920021057129,60.45127487182617,118,225
base_model.model.backbone.stages.2.blocks.5.attn,4345.66162109375,0.5812199711799622,1408,1280,5.915370941162109,16.786169052124023,47.338645935058594,75,128
base_model.model.backbone.stages.2.blocks.5.ffn,4026.09619140625,1.0189905166625977,1408,1280,4.1414265632629395,12.083999633789062,43.96126937866211,88,171
base_model.model.backbone.stages.2.blocks.5,350.72979736328125,0.6144775152206421,1408,1280,8.001728057861328,26.1794376373291,76.98013305664062,130,241
base_model.model.backbone.stages.2.blocks.6.attn,905.7259521484375,0.3351683020591736,1408,1280,8.399352073669434,29.546236038208008,87.01111602783203,134,212
base_model.model.backbone.stages.2.blocks.6.ffn,1309.297607421875,0.40239378809928894,1408,1280,4.870340824127197,16.5460147857666,67.7727279663086,140,247
base_model.model.backbone.stages.2.blocks.6,567.6895751953125,0.6966532468795776,1408,1280,8.231497764587402,28.074052810668945,87.45394134521484,151,265
base_model.model.backbone.stages.2.blocks.7.attn,1700.8350830078125,0.3105820119380951,1408,1280,6.2854509353637695,22.57979393005371,76.40444946289062,126,203
base_model.model.backbone.stages.2.blocks.7.ffn,1490.408447265625,0.4716997444629669,1408,1280,6.757582187652588,19.54168701171875,74.59992218017578,156,269
base_model.model.backbone.stages.2.blocks.7,826.2960815429688,0.7442408800125122,1408,1280,8.07009506225586,30.479949951171875,102.14928436279297,180,303
base_model.model.backbone.stages.2.blocks.8.attn,2338.170654296875,0.5374735593795776,1408,1280,6.644289016723633,24.37753677368164,76.67855072021484,127,209
base_model.model.backbone.stages.2.blocks.8.ffn,1043.72900390625,0.47674325108528137,1408,1280,6.536640167236328,23.866975784301758,86.02816009521484,159,269
base_model.model.backbone.stages.2.blocks.8,1074.0986328125,0.5539143085479736,1408,1280,7.444928169250488,30.141183853149414,111.57780456542969,204,334
base_model.model.backbone.stages.2.blocks.9.attn,3342.82568359375,0.4061712622642517,1408,1280,5.23954439163208,18.551029205322266,63.620365142822266,111,186
base_model.model.backbone.stages.2.blocks.9.ffn,1180.7139892578125,0.5387143492698669,1408,1280,6.336422443389893,23.421049118041992,80.03170776367188,146,252
base_model.model.backbone.stages.2.blocks.9,1395.3883056640625,0.45405396819114685,1408,1280,7.186715126037598,29.915212631225586,114.039306640625,212,344
base_model.model.backbone.stages.2.blocks.10.attn,3362.73486328125,0.5438895225524902,1408,1280,7.69426155090332,30.606874465942383,92.74650573730469,146,232
base_model.model.backbone.stages.2.blocks.10.ffn,1783.2783203125,0.8386735320091248,1408,1280,6.606494426727295,24.40792465209961,79.77368927001953,138,238
base_model.model.backbone.stages.2.blocks.10,3869.064453125,1.0528827905654907,1408,1280,5.513274669647217,20.984193801879883,90.96043395996094,195,328
base_model.model.backbone.stages.2.blocks.11.attn,4946.03662109375,0.38475003838539124,1408,1280,6.10093355178833,21.450454711914062,67.44328308105469,115,192
base_model.model.backbone.stages.2.blocks.11.ffn,2528.626220703125,1.2074779272079468,1408,1280,6.472227096557617,21.693458557128906,66.4711685180664,115,209
base_model.model.backbone.stages.2.blocks.11,550.5663452148438,0.7531450390815735,1408,1280,7.664703369140625,33.88597869873047,127.5988998413086,220,351
base_model.model.backbone.stages.2.blocks.12.attn,1374.9385986328125,0.2544443607330322,1408,1280,2.8732283115386963,7.801879405975342,50.697330474853516,149,243
base_model.model.backbone.stages.2.blocks.12.ffn,832.0472412109375,0.45553267002105713,1408,1280,5.166505336761475,18.52140235900879,75.52745819091797,155,267
base_model.model.backbone.stages.2.blocks.12,717.299560546875,0.8085232973098755,1408,1280,9.23656940460205,39.347801208496094,130.36497497558594,217,349
