layer,group,shape,stable_rank,dim_30,dim_50,dim_70,dim_90,dim_95,total_rank_max,frob_norm,spectral_norm
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_A.default,ffn,"(8, 352)",6.278687953948975,2,4,6,7,8,8,1.6470990180969238,0.657332718372345
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_B.default,ffn,"(1408, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.0.blocks.1.ffn.layers.1,ffn,"(352, 1408)",157.23097229003906,58,108,173,268,303,352,10.832033157348633,0.8638551235198975
base_model.model.backbone.stages.1.downsample.reduction,other,"(704, 1408)",241.5584716796875,92,174,285,468,547,704,15.304948806762695,0.9847381114959717
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9211872816085815,1,1,2,2,2,2,12.929210662841797,9.327970504760742
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.2,other,"(16, 512)",11.673728942871094,4,7,11,14,15,16,2.3213934898376465,0.6794288158416748
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.qkv.base_layer,qkv,"(2112, 704)",282.9548645019531,106,199,322,513,588,704,26.539459228515625,1.5777329206466675
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.qkv.lora_A.default,qkv,"(8, 704)",6.836918354034424,3,4,6,8,8,8,1.644376277923584,0.6288846731185913
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.qkv.lora_B.default,qkv,"(2112, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.proj,proj,"(704, 704)",176.38414001464844,67,128,213,358,429,704,15.316405296325684,1.1532596349716187
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.base_layer,ffn,"(2816, 704)",313.2807312011719,116,216,346,536,606,704,30.633716583251953,1.7307440042495728
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_A.default,ffn,"(8, 704)",7.041804790496826,3,4,6,8,8,8,1.6294595003128052,0.6140469312667847
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_B.default,ffn,"(2816, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.1.blocks.0.ffn.layers.1,ffn,"(704, 2816)",315.42279052734375,116,216,346,536,606,704,15.317595481872559,0.8624701499938965
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.0,other,"(512, 2)",1.9204299449920654,1,1,2,2,2,2,13.176240921020508,9.508068084716797
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.2,other,"(16, 512)",12.239877700805664,4,7,11,14,15,16,2.3076114654541016,0.6595901250839233
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.qkv.base_layer,qkv,"(2112, 704)",288.1105041503906,106,199,323,513,587,704,26.53554916381836,1.5633223056793213
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.qkv.lora_A.default,qkv,"(8, 704)",6.72746467590332,3,4,6,8,8,8,1.6217169761657715,0.6252437233924866
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.qkv.lora_B.default,qkv,"(2112, 8)",0.0,0,0,0,0,0,8,0.0,0.0
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.proj,proj,"(704, 704)",177.79200744628906,67,128,213,359,429,704,15.316099166870117,1.148661494255066
