layer,num_samples,feat_dim,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.2.blocks.11.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999853958097,3.5045215827624534,3.504521608352661,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.11.ffn.layers.1,640,1,1,1.000000009319083,0.3619123118111706,0.3619123101234436,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.proj,2560,1,1,0.9999999784300229,0.5916259821035945,0.591625988483429,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0,640,1,1,0.9999999908621896,22.43723477602646,22.43723487854004,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.base_layer,640,1,1,1.0000000035490344,25.314079329588257,25.31407928466797,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.lora_A.default,640,1,1,0.9999999812465393,119.29115183554059,119.29115295410156,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.12.ffn.layers.0.0.lora_B.default,640,1,1,1.000000044131934,1.4670253123704513,1.4670252799987793,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.12.ffn.layers.1,640,1,1,1.0000000130059228,0.11604847089847074,0.11604847013950348,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.proj,2560,1,1,1.0000000035560073,2.6841518926662946,2.6841518878936768,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0,640,1,1,1.0000000325503677,33.247982566263516,33.247982025146484,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.base_layer,640,1,1,0.9999999964182273,37.305683069176105,37.30568313598633,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.lora_A.default,640,1,1,0.9999999976232088,160.23188762696395,160.2318878173828,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.13.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999791290568,2.1463250889914782,2.14632511138916,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
