layer,weight_shape,feature_shape,num_samples,fro_change,relative_change,feat_dim,num_eigs,full_rank,stable_rank,participation_ratio,effective_rank,dim_30,dim_50,dim_70,dim_90,dim_95,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,top30_frac,top50_frac,top70_frac,top90_frac
backbone.stages.2.blocks.10,,"(320, 1408)",320,714.6353759765625,0.38879308104515076,1408,320,320,6.866703266114193,28.06238449709192,81.58769911134485,5,14,40,123,176,0.28846322974396327,0.40814167774061105,0.5324666126614078,0.6617371906585903,0.7900970112472528,0.015625,0.04375,0.125,0.384375
backbone.stages.2.blocks.10.attn,,"(320, 1408)",320,1809.8314208984375,0.5879889726638794,1408,320,320,9.069128090094853,32.140879243888385,77.31104528672348,5,13,35,105,151,0.2845661439671177,0.41104313461563785,0.5444928714009681,0.683971333146411,0.8176989796218553,0.015625,0.040625,0.109375,0.328125
backbone.stages.2.blocks.10.ffn,,"(320, 1408)",320,546.1965942382812,0.5137116312980652,1408,320,320,7.2198978160886185,23.072981045310165,67.18142479859111,3,11,32,104,155,0.3391252883006022,0.449595341360462,0.5730922083567177,0.7034820294394798,0.8249425144343673,0.009375,0.034375,0.1,0.325
backbone.stages.2.blocks.11,,"(320, 1408)",320,254.66722106933594,0.6979820728302002,1408,320,320,6.440202580729898,26.607640488856493,81.14036801073625,5,14,41,122,174,0.2921407829670672,0.40465452474368013,0.5244624368665171,0.6564287200026647,0.7891380673619721,0.015625,0.04375,0.128125,0.38125
backbone.stages.2.blocks.11.attn,,"(320, 1408)",320,3021.02978515625,0.47161129117012024,1408,320,320,6.069122949377817,21.272582108009363,60.71731340326298,3,10,28,92,138,0.3458456673302691,0.4723037957020011,0.5988607900667252,0.726966215585482,0.8465743494083268,0.009375,0.03125,0.0875,0.2875
backbone.stages.2.blocks.11.ffn,,"(320, 1408)",320,638.2916870117188,0.6101937294006348,1408,320,320,4.432339975468712,12.240977067355333,43.23874746231408,2,6,21,87,138,0.4519569838751438,0.5606834368097731,0.6633846833354552,0.7648616974669017,0.8615768000513297,0.00625,0.01875,0.065625,0.271875
backbone.stages.2.blocks.12,,"(320, 1408)",320,326.4959411621094,0.7364386320114136,1408,320,320,6.737728691545944,27.95358582637708,82.26091312672352,5,15,40,122,174,0.2852424876504672,0.40075148798698873,0.5240708667562538,0.6567100194747924,0.789649354369425,0.015625,0.046875,0.125,0.38125
backbone.stages.2.blocks.12.attn,,"(320, 1408)",320,855.52978515625,0.31779205799102783,1408,320,320,2.786174889319045,7.244475340055532,35.94217553572532,1,5,21,90,139,0.4788515006985719,0.565683905656657,0.6628472734750219,0.7594440434256864,0.8559041463311414,0.003125,0.015625,0.065625,0.28125
backbone.stages.2.blocks.12.ffn,,"(320, 1408)",320,275.58837890625,0.3022227883338928,1408,320,320,5.247671168565729,18.82168638112155,63.74504195856837,3,11,32,107,157,0.35567522079619096,0.46100286780300637,0.578773733231624,0.7029160233413178,0.8206022450874019,0.009375,0.034375,0.1,0.334375
backbone.stages.2.blocks.13,,"(320, 1408)",320,410.8887939453125,0.7663968801498413,1408,320,320,7.268862780004668,29.910063456620282,83.35625519838014,5,15,40,121,173,0.28038379112483186,0.39809528659806526,0.52343230595249,0.6577785874177992,0.7910230999319812,0.015625,0.046875,0.125,0.378125
backbone.stages.2.blocks.13.attn,,"(320, 1408)",320,1079.0374755859375,0.19898003339767456,1408,320,320,2.151387200610416,4.474815095889227,22.121449925382457,1,2,13,74,122,0.5771123835001835,0.6488319169270924,0.7267637375986837,0.8086197937051194,0.885871246004373,0.003125,0.00625,0.040625,0.23125
backbone.stages.2.blocks.13.ffn,,"(320, 1408)",320,305.3081970214844,0.3776050806045532,1408,320,320,4.604182475672077,14.438931171552424,48.442755631350934,2,7,23,87,136,0.42772281157547193,0.5272689226720874,0.6408636662206413,0.7559592013573649,0.8602009538169408,0.00625,0.021875,0.071875,0.271875
backbone.stages.2.blocks.14,,"(320, 1408)",320,531.2377319335938,0.7070803046226501,1408,320,320,7.7139733519058025,29.35786557665192,79.72117562432886,5,13,38,118,171,0.2962191340713988,0.4135715110925593,0.5396162005908495,0.6713064511184343,0.7991493568616189,0.015625,0.040625,0.11875,0.36875
