layer,weight_shape,feature_shape,num_samples,fro_change,relative_change,feat_dim,num_eigs,full_rank,stable_rank,participation_ratio,effective_rank,dim_30,dim_50,dim_70,dim_90,dim_95,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,top30_frac,top50_frac,top70_frac,top90_frac
base_model.model.backbone.stages.2.blocks.5,,"(1280, 1408)",1280,350.72979736328125,0.6144775152206421,1408,1280,1280,8.008085340340784,26.19481166349757,77.01251963263768,4,10,28,130,241,0.3271600958525701,0.46707414013253534,0.5997272592326583,0.7218154470176841,0.8215219570903793,0.003125,0.0078125,0.021875,0.1015625
base_model.model.backbone.stages.2.blocks.6.attn,,"(1280, 1408)",1280,905.7259521484375,0.3351683020591736,1408,1280,1280,8.400894584902135,29.550596838240203,87.02384147242209,4,13,38,134,212,0.3054221094887299,0.4163408008176093,0.5430795420380444,0.6712683652623991,0.7921898079400618,0.003125,0.01015625,0.0296875,0.1046875
base_model.model.backbone.stages.2.blocks.6.ffn,,"(1280, 1408)",1280,1309.297607421875,0.40239378809928894,1408,1280,1280,4.87070327779323,16.547997042301223,67.78518039299352,3,9,30,140,247,0.39188527289835695,0.49912557582557593,0.6048633731762603,0.7129543906886087,0.8092227806904652,0.00234375,0.00703125,0.0234375,0.109375
base_model.model.backbone.stages.2.blocks.6,,"(1280, 1408)",1280,567.6895751953125,0.6966532468795776,1408,1280,1280,8.233627345361263,28.081170046730428,87.47544426352384,4,11,35,151,265,0.3148822390368051,0.44018903388140335,0.5686819509706895,0.6895893293638641,0.7951990712017779,0.003125,0.00859375,0.02734375,0.11796875
base_model.model.backbone.stages.2.blocks.7.attn,,"(1280, 1408)",1280,1700.8350830078125,0.3105820119380951,1408,1280,1280,6.287130258789187,22.587050250203006,76.42439132961103,3,12,35,126,203,0.340989083100573,0.44214868081315195,0.5621237025007123,0.6863214045371961,0.8059353734288824,0.00234375,0.009375,0.02734375,0.0984375
base_model.model.backbone.stages.2.blocks.7.ffn,,"(1280, 1408)",1280,1490.408447265625,0.4716997444629669,1408,1280,1280,6.758689762500092,19.546389537245112,74.6194670174844,3,9,33,156,269,0.3919236938660147,0.487367571235677,0.5905661707922697,0.6989974115263611,0.7948222144129838,0.00234375,0.00703125,0.02578125,0.121875
base_model.model.backbone.stages.2.blocks.7,,"(1280, 1408)",1280,826.2960815429688,0.7442408800125122,1408,1280,1280,8.071097571386654,30.486072219282406,102.17259092550573,4,14,43,180,303,0.3027174321810077,0.4100211111113844,0.5330123053962429,0.6532916122213501,0.7620930375086155,0.003125,0.0109375,0.03359375,0.140625
base_model.model.backbone.stages.2.blocks.8.attn,,"(1280, 1408)",1280,2338.170654296875,0.5374735593795776,1408,1280,1280,6.646232712932885,24.385477151393253,76.69767963564918,4,11,32,127,209,0.32364542320950956,0.448675189222816,0.5821384166728205,0.701053456570587,0.8105033161060912,0.003125,0.00859375,0.025,0.09921875
base_model.model.backbone.stages.2.blocks.8.ffn,,"(1280, 1408)",1280,1043.72900390625,0.47674325108528137,1408,1280,1280,6.538417886798095,23.87477324193757,86.05129945931829,4,12,37,159,270,0.33308356036286,0.4444390346919488,0.5614460083848287,0.6794057979397182,0.7851284520209075,0.003125,0.009375,0.02890625,0.12421875
base_model.model.backbone.stages.2.blocks.8,,"(1280, 1408)",1280,1074.0986328125,0.5539143085479736,1408,1280,1280,7.446592083437295,30.15093427510307,111.60920619780815,4,16,50,204,334,0.30218934835853867,0.3943969142013139,0.5106105981648194,0.6295339993924591,0.739207628346044,0.003125,0.0125,0.0390625,0.159375
base_model.model.backbone.stages.2.blocks.9.attn,,"(1280, 1408)",1280,3342.82568359375,0.4061712622642517,1408,1280,1280,5.240714769953293,18.55662347250997,63.63571655949493,3,9,27,111,186,0.3612622107211654,0.48686879013867934,0.6152583967591657,0.7320140650043816,0.8335388612561192,0.00234375,0.00703125,0.02109375,0.08671875
base_model.model.backbone.stages.2.blocks.9.ffn,,"(1280, 1408)",1280,1180.7139892578125,0.5387143492698669,1408,1280,1280,6.3385513025357145,23.430426170448282,80.05758205711844,4,10,33,146,252,0.3243276375412866,0.462125821903754,0.5847026619580619,0.6995305578878654,0.8012896330568289,0.003125,0.0078125,0.02578125,0.1140625
base_model.model.backbone.stages.2.blocks.9,,"(1280, 1408)",1280,1395.3883056640625,0.45405396819114685,1408,1280,1280,7.189213340980849,29.928134150569168,114.07359534086159,5,16,52,212,344,0.29711335956861534,0.3908933665876728,0.5064755168135986,0.6252629006296416,0.7346745604834338,0.00390625,0.0125,0.040625,0.165625
base_model.model.backbone.stages.2.blocks.10.attn,,"(1280, 1408)",1280,3362.73486328125,0.5438895225524902,1408,1280,1280,7.696640857991348,30.617700714232807,92.77053620936182,5,14,40,146,232,0.283756592977564,0.4011354000660002,0.5382666085396842,0.6653018445730272,0.7818994018897051,0.00390625,0.0109375,0.03125,0.1140625
base_model.model.backbone.stages.2.blocks.10.ffn,,"(1280, 1408)",1280,1783.2783203125,0.8386735320091248,1408,1280,1280,6.608483574244839,24.416646076332725,79.79671588054349,4,11,32,138,238,0.32575348106756186,0.45522478359784435,0.5828159599116397,0.7017452496121684,0.8045879246862193,0.003125,0.00859375,0.025,0.1078125
base_model.model.backbone.stages.2.blocks.10,,"(1280, 1408)",1280,3869.064453125,1.0528827905654907,1408,1280,1280,5.5160998821505585,20.998572816983685,91.00301020170308,4,12,41,195,328,0.34181937592610867,0.4482559225087261,0.5571596474381546,0.6649451279649868,0.7626637070849356,0.003125,0.009375,0.03203125,0.15234375
base_model.model.backbone.stages.2.blocks.11.attn,,"(1280, 1408)",1280,4946.03662109375,0.38475003838539124,1408,1280,1280,6.101070201291368,21.451931872624325,67.4534145106775,4,9,28,115,192,0.34224507484119365,0.4869061627323993,0.6131155415703878,0.7263509000928774,0.827255504083246,0.003125,0.00703125,0.021875,0.08984375
base_model.model.backbone.stages.2.blocks.11.ffn,,"(1280, 1408)",1280,2528.626220703125,1.2074779272079468,1408,1280,1280,6.472534305786376,21.695654879008817,66.4822863070898,4,9,25,115,209,0.3543434175117672,0.4893984864623915,0.6244587121251575,0.7451561284747862,0.8383825486836204,0.003125,0.00703125,0.01953125,0.08984375
base_model.model.backbone.stages.2.blocks.11,,"(1280, 1408)",1280,550.5663452148438,0.7531450390815735,1408,1280,1280,7.666130237927701,33.89653662748596,127.63181621635162,5,19,59,220,351,0.2742677818492618,0.35932900408012836,0.4734027354580387,0.5947218890359862,0.714321107211364,0.00390625,0.01484375,0.04609375,0.171875
