layer,weight_shape,feature_shape,feat_dim,num_samples,fro_norm,rel_change,dim_90,dim_95,stable_rank,participation_ratio,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,dim_90_frac,weight_shape_parsed,feature_shape_parsed
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.proj,"(352, 352)","(62720, 352)",352,62720,0.0,0.0,352,352,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,"(352, 352)","(62720, 352)"
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.proj,"(352, 352)","(62720, 352)",352,62720,802.39892578125,0.1582952488875205,5,10,1.3751723766326904,1.8505939245224,0.8942991495132446,0.9417961835861206,0.9684410691261292,0.985737919807434,0.9950352907180786,0.0142045454545454,"(352, 352)","(62720, 352)"
base_model.model.backbone.stages.0.blocks.0.ffn.layers.1,"(352, 1408)","(1280, 352)",352,1280,42.66022872924805,0.1151798301664632,3,6,1.534218668937683,2.114548921585083,0.9319226741790771,0.9704079031944276,0.991461455821991,0.997751772403717,0.9994969367980956,0.0085227272727272,"(352, 1408)","(1280, 352)"
base_model.model.backbone.stages.0.blocks.1.ffn.layers.1,"(352, 1408)","(1280, 352)",352,1280,45.76364517211914,0.139910996068154,4,9,1.462456226348877,2.0006890296936035,0.9082666039466858,0.9453204274177552,0.9735996723175048,0.9908799529075624,0.9975541234016418,0.0113636363636363,"(352, 1408)","(1280, 352)"
base_model.model.backbone.stages.0.blocks.0.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.3.blocks.0.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.3.blocks.1.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0,"(512, 2)","(20, 15)"
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.proj,"(704, 704)","(20480, 704)",704,20480,612.621826171875,0.0918066762025936,24,47,2.548391103744507,5.5146002769470215,0.6435349583625793,0.7622932195663452,0.8526814579963684,0.9251695275306702,0.9665332436561584,0.034090909090909,"(704, 704)","(20480, 704)"
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.proj,"(704, 704)","(20480, 704)",704,20480,441.3857116699219,0.095496813332229,58,98,3.0743601322174072,7.412732124328613,0.5623064637184143,0.6612607836723328,0.7496016621589661,0.8348994851112366,0.9114673137664796,0.0823863636363636,"(704, 704)","(20480, 704)"
base_model.model.backbone.stages.1.blocks.0.ffn.layers.1,"(704, 2816)","(1280, 704)",704,1280,78.25599670410156,0.099228654864447,23,39,3.092653274536133,7.042213439941406,0.6103514432907104,0.7415156960487366,0.8550738096237183,0.9368088841438292,0.9740868806838988,0.0326704545454545,"(704, 2816)","(1280, 704)"
base_model.model.backbone.stages.1.blocks.1.ffn.layers.1,"(704, 2816)","(1280, 704)",704,1280,113.66533660888672,0.1011494503375643,20,40,2.176814556121826,4.163467884063721,0.6950526237487793,0.793541431427002,0.8823179006576538,0.9379591941833496,0.9729928374290466,0.0284090909090909,"(704, 2816)","(1280, 704)"
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.lora_B.default,"(1408, 8)","(1280, 1408)",1408,1280,45.18426132202149,45184261322021.484,2,2,1.365356683731079,1.6875319480895996,0.9998234510421752,1.0,1.0,1.0,1.0,0.0014204545454545,"(1408, 8)","(1280, 1408)"
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_B.default,"(1408, 8)","(1280, 1408)",1408,1280,37.91892623901367,37918926239013.67,2,3,1.286417007446289,1.5910704135894775,0.9924529194831848,1.0,1.0,1.0,1.0,0.0014204545454545,"(1408, 8)","(1280, 1408)"
