layer,group,shape,rank
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.proj,proj,"(1408, 1408)",1405
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.4.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.proj,proj,"(1408, 1408)",1404
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.5.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.proj,proj,"(1408, 1408)",1405
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.lora_B.default,ffn,"(5632, 8)",0
base_model.model.backbone.stages.2.blocks.6.ffn.layers.1,ffn,"(1408, 5632)",1408
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.cpb_mlp.0,other,"(512, 2)",2
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.cpb_mlp.2,other,"(32, 512)",32
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.base_layer,qkv,"(4224, 1408)",1408
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.lora_A.default,qkv,"(8, 1408)",8
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.lora_B.default,qkv,"(4224, 8)",0
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.proj,proj,"(1408, 1408)",1404
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.base_layer,ffn,"(5632, 1408)",1408
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.lora_A.default,ffn,"(8, 1408)",8
