layer,group,shape,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.1.blocks.1.ffn.layers.0.0.base_layer,ffn,2816x704,704,16.202078107218497,53.60885811103189,13.318373680114746,42,0.05965909090909091,102,0.14488636363636365,194,0.2755681818181818,367,0.5213068181818182,455,0.6463068181818182,0.0959576740860939,0.1250779628753662,0.17376826703548431,0.25681906938552856,0.38399749994277954
base_model.model.backbone.stages.1.blocks.1.ffn.layers.1,ffn,704x2816,704,13.710388104578525,58.98550288656739,15.930170059204102,24,0.03409090909090909,55,0.078125,108,0.1534090909090909,230,0.32670454545454547,310,0.4403409090909091,0.11612994968891144,0.1626293808221817,0.24086259305477142,0.36529219150543213,0.546100378036499
base_model.model.backbone.stages.2.downsample.reduction,other,1408x2816,1408,40.73375853103358,78.37013105390503,12.279292106628418,78,0.05539772727272727,151,0.10724431818181818,245,0.17400568181818182,409,0.29048295454545453,526,0.37357954545454547,0.03929193690419197,0.05770612880587578,0.0914173275232315,0.15262793004512787,0.2592224180698395
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.cpb_mlp.2,other,32x512,32,3.9604540307833846,12.107806728084507,6.084053039550781,2,0.0625,3,0.09375,5,0.15625,9,0.28125,10,0.3125,0.640693724155426,0.8963472247123718,0.9912929534912109,0.9999998807907104,nan
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,29.82287112778276,102.70817750579795,18.807466506958008,30,0.02130681818181818,74,0.052556818181818184,146,0.10369318181818182,282,0.2002840909090909,365,0.25923295454545453,0.07732976973056793,0.12718866765499115,0.2040143758058548,0.3179545998573303,0.4665135443210602
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.proj,proj,1408x1408,1408,31.73027638503892,57.08618501468854,10.134307861328125,42,0.029829545454545456,91,0.06463068181818182,166,0.11789772727272728,327,0.23224431818181818,441,0.3132102272727273,0.05806591734290123,0.09083085507154465,0.15106821060180664,0.252417653799057,0.4030095636844635
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,11.746091375087175,115.93526362398327,33.82741928100586,43,0.030539772727272728,105,0.07457386363636363,196,0.13920454545454544,376,0.26704545454545453,487,0.3458806818181818,0.1136598065495491,0.14228110015392303,0.18763130903244019,0.2601929008960724,0.3783610165119171
base_model.model.backbone.stages.2.blocks.0.ffn.layers.1,ffn,1408x5632,1408,49.646101586255334,113.53326278149721,16.1131534576416,71,0.05042613636363636,161,0.11434659090909091,311,0.22088068181818182,648,0.4602272727272727,844,0.5994318181818182,0.042627133429050446,0.06656154990196228,0.10742898285388947,0.1750657856464386,0.28072282671928406
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.2,other,32x512,32,2.4189292831844615,10.948633423973014,7.039605617523193,1,0.03125,2,0.0625,4,0.125,7,0.21875,9,0.28125,0.7687913179397583,0.9485791921615601,0.9977271556854248,1.0000001192092896,nan
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,60.591078879020756,101.3943222954323,13.025946617126465,38,0.026988636363636364,95,0.06747159090909091,197,0.13991477272727273,421,0.2990056818181818,558,0.3963068181818182,0.05774214118719101,0.10113030672073364,0.17133252322673798,0.27397558093070984,0.41003361344337463
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.proj,proj,1408x1408,1408,23.916543126810698,57.650615832438206,11.788396835327148,41,0.02911931818181818,87,0.06178977272727273,161,0.11434659090909091,337,0.2393465909090909,456,0.32386363636363635,0.06901758164167404,0.10082631558179855,0.1581505686044693,0.25631287693977356,0.41158443689346313
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,12.22396901069494,113.61040541583328,32.494659423828125,47,0.033380681818181816,118,0.08380681818181818,234,0.16619318181818182,492,0.3494318181818182,654,0.46448863636363635,0.11290556937456131,0.13818493485450745,0.17912377417087555,0.2470168024301529,0.35729676485061646
base_model.model.backbone.stages.2.blocks.1.ffn.layers.1,ffn,1408x5632,1408,73.67679768122368,112.20191411580285,13.071784973144531,78,0.05539772727272727,180,0.1278409090909091,347,0.24644886363636365,705,0.5007102272727273,902,0.640625,0.03538013994693756,0.05919114872813225,0.09857510775327682,0.16361436247825623,0.2635102868080139
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.2,other,32x512,32,1.5379579445313643,16.560492397488236,13.353681564331055,1,0.03125,1,0.03125,2,0.0625,3,0.09375,5,0.15625,0.9371312260627747,0.9913607835769653,0.9989303350448608,1.0,nan
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,65.89045320954513,101.70206756440598,12.529061317443848,40,0.028409090909090908,97,0.06889204545454546,201,0.14275568181818182,461,0.3274147727272727,630,0.4474431818181818,0.055027443915605545,0.09819187223911285,0.16629576683044434,0.2632848024368286,0.4006430208683014
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.proj,proj,1408x1408,1408,28.534386556609785,57.69761811997745,10.801239967346191,53,0.037642045454545456,114,0.08096590909090909,206,0.14630681818181818,407,0.2890625,534,0.37926136363636365,0.057149700820446014,0.08333801478147507,0.12991805374622345,0.2105139046907425,0.34284675121307373
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,13.732682653974145,115.57254299924571,31.18724250793457,54,0.03835227272727273,138,0.09801136363636363,276,0.19602272727272727,585,0.41548295454545453,769,0.5461647727272727,0.10040821135044098,0.12533430755138397,0.1638268232345581,0.2283448874950409,0.3310873210430145
base_model.model.backbone.stages.2.blocks.2.ffn.layers.1,ffn,1408x5632,1408,70.87247087166715,115.17709699360806,13.681299209594727,74,0.052556818181818184,179,0.12713068181818182,355,0.2521306818181818,726,0.515625,924,0.65625,0.03944827616214752,0.06473398953676224,0.10823112726211548,0.17635992169380188,0.2760564684867859
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.2,other,32x512,32,1.8945903250294684,10.275937641362937,7.4655842781066895,1,0.03125,1,0.03125,2,0.0625,5,0.15625,6,0.1875,0.8981772661209106,0.9874277114868164,0.9990074634552002,0.9999999403953552,nan
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,73.02088977221031,101.91220562940437,11.926215171813965,45,0.03196022727272727,111,0.07883522727272728,235,0.1669034090909091,526,0.37357954545454547,704,0.5,0.04778532311320305,0.08639755845069885,0.15083040297031403,0.244223490357399,0.3735380172729492
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.proj,proj,1408x1408,1408,23.371888255094465,58.06095261662523,12.009840965270996,49,0.03480113636363636,109,0.07741477272727272,201,0.14275568181818182,408,0.2897727272727273,538,0.3821022727272727,0.06638374924659729,0.09407908469438553,0.14374589920043945,0.2264377921819687,0.3580712378025055
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,13.790557456514104,115.67682959975174,31.14981460571289,57,0.040482954545454544,148,0.10511363636363637,302,0.21448863636363635,638,0.453125,829,0.5887784090909091,0.09710454195737839,0.12092994153499603,0.15962499380111694,0.22290962934494019,0.322207510471344
base_model.model.backbone.stages.2.blocks.3.ffn.layers.1,ffn,1408x5632,1408,76.72037225293683,115.41489779405647,13.176695823669434,74,0.052556818181818184,183,0.1299715909090909,368,0.26136363636363635,747,0.5305397727272727,946,0.671875,0.04002145305275917,0.0671490877866745,0.11059481650590897,0.17827001214027405,0.27659088373184204
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.2,other,32x512,32,1.9327037072506854,14.001696347598443,10.071589469909668,1,0.03125,1,0.03125,2,0.0625,4,0.125,6,0.1875,0.9026199579238892,0.989041268825531,0.9990698099136353,1.0000001192092896,nan
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,74.83038478971312,102.21661473618171,11.816327095031738,46,0.032670454545454544,114,0.08096590909090909,244,0.17329545454545456,552,0.39204545454545453,738,0.5241477272727273,0.0474565289914608,0.08534788340330124,0.14519764482975006,0.23834364116191864,0.36636883020401
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.proj,proj,1408x1408,1408,30.102675486164557,58.11832538962001,10.592794418334961,56,0.03977272727272727,124,0.08806818181818182,228,0.16193181818181818,452,0.3210227272727273,587,0.4169034090909091,0.05753196403384209,0.08324248343706131,0.12802965939044952,0.2046404480934143,0.3283344507217407
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,14.657377557992191,116.26386006085468,30.36802864074707,65,0.04616477272727273,166,0.11789772727272728,332,0.23579545454545456,682,0.484375,875,0.6214488636363636,0.08965528011322021,0.1121315136551857,0.14798913896083832,0.20616699755191803,0.29879307746887207
base_model.model.backbone.stages.2.blocks.4.ffn.layers.1,ffn,1408x5632,1408,76.446834495629,116.1412083346712,13.283318519592285,77,0.0546875,188,0.13352272727272727,376,0.26704545454545453,759,0.5390625,957,0.6796875,0.03788094222545624,0.06261507421731949,0.10447590798139572,0.17128026485443115,0.26843181252479553
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.cpb_mlp.2,other,32x512,32,2.097413680094129,11.993214278111733,8.281205177307129,1,0.03125,2,0.0625,2,0.0625,4,0.125,5,0.15625,0.9387245178222656,0.9932787418365479,0.9991242289543152,1.0,nan
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,70.93985132273826,102.32059852645752,12.148367881774902,46,0.032670454545454544,117,0.08309659090909091,251,0.17826704545454544,566,0.40198863636363635,755,0.5362215909090909,0.04938405007123947,0.08701995760202408,0.14969991147518158,0.24176399409770966,0.3647223114967346
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.proj,proj,1408x1408,1408,24.090422304037343,58.14931237165987,11.847381591796875,50,0.03551136363636364,111,0.07883522727272728,206,0.14630681818181818,415,0.2947443181818182,545,0.38707386363636365,0.0664186179637909,0.09447246789932251,0.14245867729187012,0.22497022151947021,0.35600724816322327
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,15.81853222344909,117.17642030955929,29.461654663085938,68,0.048295454545454544,174,0.12357954545454546,347,0.24644886363636365,704,0.5,900,0.6392045454545454,0.08377932012081146,0.10554952174425125,0.14125920832157135,0.19915184378623962,0.29013964533805847
base_model.model.backbone.stages.2.blocks.5.ffn.layers.1,ffn,1408x5632,1408,71.15438270155398,116.78520113064411,13.844809532165527,74,0.052556818181818184,180,0.1278409090909091,364,0.2585227272727273,748,0.53125,949,0.6740056818181818,0.03789267688989639,0.06258579343557358,0.10453654825687408,0.1727563440799713,0.2740422487258911
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.cpb_mlp.2,other,32x512,32,1.8173340382811887,7.1438258903791025,5.299238681793213,1,0.03125,1,0.03125,2,0.0625,4,0.125,5,0.15625,0.9096192717552185,0.9907957315444946,0.9983016848564148,0.9999999403953552,nan
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,79.6713405177561,102.173331395416,11.446863174438477,53,0.037642045454545456,131,0.09303977272727272,276,0.19602272727272727,607,0.43110795454545453,800,0.5681818181818182,0.0436321459710598,0.07847869396209717,0.13519935309886932,0.21974551677703857,0.3373206853866577
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.proj,proj,1408x1408,1408,20.964531045817917,58.802407642300246,12.8425874710083,61,0.04332386363636364,133,0.09446022727272728,244,0.17329545454545456,471,0.33451704545454547,607,0.43110795454545453,0.06601039320230484,0.08765027672052383,0.12657465040683746,0.19534915685653687,0.31147661805152893
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,15.544227062189645,116.51713678280332,29.55324935913086,61,0.04332386363636364,159,0.11292613636363637,327,0.23224431818181818,691,0.49076704545454547,891,0.6328125,0.0887860357761383,0.11106161028146744,0.14887671172618866,0.2111588567495346,0.309087336063385
base_model.model.backbone.stages.2.blocks.6.ffn.layers.1,ffn,1408x5632,1408,71.31690111024581,117.29863063991839,13.889822959899902,100,0.07102272727272728,225,0.15980113636363635,423,0.30042613636363635,807,0.5731534090909091,998,0.7088068181818182,0.030770346522331238,0.04911966249346733,0.08094211667776108,0.13572262227535248,0.2227836549282074
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.cpb_mlp.2,other,32x512,32,1.7849565388026765,8.693765041576896,6.507198810577393,1,0.03125,1,0.03125,2,0.0625,5,0.15625,6,0.1875,0.8993777632713318,0.9907200932502747,0.9984623789787292,1.0,nan
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,76.01849553113738,102.94452958693337,11.807110786437988,49,0.03480113636363636,120,0.08522727272727272,257,0.1825284090909091,587,0.4169034090909091,785,0.5575284090909091,0.04663621634244919,0.08276820927858353,0.141562357544899,0.23046477138996124,0.35611581802368164
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.proj,proj,1408x1408,1408,17.33843252437483,59.279297872444474,14.236332893371582,63,0.044744318181818184,138,0.09801136363636363,253,0.1796875,487,0.3458806818181818,624,0.4431818181818182,0.07647274434566498,0.09685691446065903,0.13258297741413116,0.19645872712135315,0.3057088553905487
base_model.model.backbone.stages.2.blocks.7.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,13.754567627406061,119.30826832464295,32.16970443725586,52,0.036931818181818184,142,0.10085227272727272,305,0.21661931818181818,674,0.4786931818181818,880,0.625,0.09422148764133453,0.11860506236553192,0.16121773421764374,0.23152755200862885,0.3351515531539917
base_model.model.backbone.stages.2.blocks.7.ffn.layers.1,ffn,1408x5632,1408,72.20984033360162,119.61371746689424,14.076114654541016,110,0.078125,249,0.1768465909090909,460,0.32670454545454547,850,0.6036931818181818,1035,0.7350852272727273,0.03289297968149185,0.051618803292512894,0.08288849890232086,0.13411477208137512,0.21237820386886597
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.cpb_mlp.2,other,32x512,32,2.4938258401433577,11.02404619100386,6.980844497680664,1,0.03125,2,0.0625,3,0.09375,6,0.1875,7,0.21875,0.8606147766113281,0.9723947644233704,0.9985394477844238,0.9999999403953552,nan
