layer,weight_shape,feature_shape,feat_dim,num_samples,fro_norm,rel_change,dim_90,dim_95,stable_rank,participation_ratio,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,dim_90_frac
base_model.model.backbone.stages.2.blocks.0.attn,,"(1280, 1408)",1408,1280,917.4683227539062,0.17221902012404514,35,61,5.590747356414795,13.752584457397461,0.46715298295021057,0.6187200546264648,0.7784870266914368,0.8905302882194519,0.9542614817619324,0.024857954545454544
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.base_layer,"(5632, 1408)","(1280, 5632)",5632,1280,1143.0452880859375,0.08898982592949137,31,53,5.245473384857178,12.908208847045898,0.4706098735332489,0.6454131603240967,0.8007821440696716,0.9058025479316711,0.9627063274383545,0.005504261363636364
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.lora_dropout.default,,"(1280, 1408)",1408,1280,204.7949981689453,0.23305916926233955,41,75,5.949774742126465,15.407770156860352,0.4300992488861084,0.5941635370254517,0.7587815523147583,0.8731924891471863,0.9394148588180542,0.02911931818181818
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,1103.5699462890625,26.66330933925594,1,2,1.0795021057128906,1.1637201309204102,0.9803471565246582,1.0,,,,0.125
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0.lora_B.default,"(5632, 8)","(1280, 5632)",5632,1280,1359.15576171875,1359155761718750.0,1,1,1.0001978874206543,1.0003958940505981,0.9999623894691467,1.0,1.0,1.0,1.0,0.0001775568181818182
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.0,"(5632, 1408)","(1280, 5632)",5632,1280,2969.3193359375,0.23117125243272493,24,43,2.6868505477905273,6.069899559020996,0.6031282544136047,0.7319474816322327,0.8504212498664856,0.9300442337989807,0.9723849892616272,0.004261363636363636
base_model.model.backbone.stages.2.blocks.0.ffn.activate,,"(1280, 5632)",5632,1280,595.4409790039062,0.5471984119772539,102,229,6.609372615814209,20.921354293823242,0.35312265157699585,0.49772417545318604,0.6581872701644897,0.7760026454925537,0.8609831929206848,0.018110795454545456
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0.2,,"(1280, 5632)",5632,1280,595.4409790039062,0.5471984119772539,102,229,6.609372615814209,20.921354293823242,0.35312265157699585,0.49772417545318604,0.6581872701644897,0.7760026454925537,0.8609831929206848,0.018110795454545456
base_model.model.backbone.stages.2.blocks.0.ffn.layers.0,,"(1280, 5632)",5632,1280,595.4409790039062,0.5471984119772539,102,229,6.609372615814209,20.921354293823242,0.35312265157699585,0.49772417545318604,0.6581872701644897,0.7760026454925537,0.8609831929206848,0.018110795454545456
base_model.model.backbone.stages.2.blocks.0.ffn.layers.1,"(1408, 5632)","(1280, 1408)",1408,1280,1408.58154296875,0.21101928435109615,56,113,3.584225654602051,10.186434745788574,0.4672214388847351,0.5965420603752136,0.7334581613540649,0.8384847640991211,0.9116440415382385,0.03977272727272727
base_model.model.backbone.stages.2.blocks.0.ffn.layers.2,,"(1280, 1408)",1408,1280,1408.58154296875,0.21101928435109615,56,113,3.584225654602051,10.186434745788574,0.4672214388847351,0.5965420603752136,0.7334581613540649,0.8384847640991211,0.9116440415382385,0.03977272727272727
base_model.model.backbone.stages.2.blocks.0.ffn.layers,,"(1280, 1408)",1408,1280,1408.58154296875,0.21101928435109615,56,113,3.584225654602051,10.186434745788574,0.4672214388847351,0.5965420603752136,0.7334581613540649,0.8384847640991211,0.9116440415382385,0.03977272727272727
base_model.model.backbone.stages.2.blocks.0.ffn.dropout_layer,,"(1280, 1408)",1408,1280,1408.58154296875,0.21101928435109615,56,113,3.584225654602051,10.186434745788574,0.4672214388847351,0.5965420603752136,0.7334581613540649,0.8384847640991211,0.9116440415382385,0.03977272727272727
base_model.model.backbone.stages.2.blocks.0.ffn,,"(1280, 1408)",1408,1280,1408.58154296875,0.21101928435109615,56,113,3.584225654602051,10.186434745788574,0.4672214388847351,0.5965420603752136,0.7334581613540649,0.8384847640991211,0.9116440415382385,0.03977272727272727
base_model.model.backbone.stages.2.blocks.0,,"(1280, 1408)",1408,1280,263.6402893066406,0.31164155282751516,73,141,7.426537036895752,20.605937957763672,0.3690831661224365,0.5196940302848816,0.6791549324989319,0.8037340641021729,0.88892662525177,0.05184659090909091
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.1,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.cpb_mlp,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.softmax,,"(5120, 32)",32,5120,6.040687594577321e-08,9.551165600367e-09,32,32,0.0036478654947131872,30.863182067871094,0.0006002848385833204,0.0011390827130526304,0.002103849546983838,0.0036351813469082117,,1.0
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.attn_drop,,"(5120, 32)",32,5120,6.040687594577321e-08,9.551165600367e-09,32,32,0.0036478654947131872,30.863182067871094,0.0006002848385833204,0.0011390827130526304,0.002103849546983838,0.0036351813469082117,,1.0
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,2897.227294921875,0.2226524427287908,70,121,5.732182025909424,17.88494110107422,0.38225048780441284,0.5246267318725586,0.6791236400604248,0.8013378977775574,0.8914521932601929,0.04971590909090909
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.proj_drop,,"(5120, 1408)",1408,5120,2897.227294921875,0.2226524427287908,70,121,5.732182025909424,17.88494110107422,0.38225048780441284,0.5246267318725586,0.6791236400604248,0.8013378977775574,0.8914521932601929,0.04971590909090909
base_model.model.backbone.stages.2.blocks.1.attn.w_msa,,"(5120, 1408)",1408,5120,2897.227294921875,0.2226524427287908,70,121,5.732182025909424,17.88494110107422,0.38225048780441284,0.5246267318725586,0.6791236400604248,0.8013378977775574,0.8914521932601929,0.04971590909090909
base_model.model.backbone.stages.2.blocks.1.attn.drop,,"(1280, 1408)",1408,1280,1497.4444580078125,0.22747506280518526,44,77,5.775506019592285,15.33481216430664,0.4267524182796478,0.5865762233734131,0.7488469481468201,0.8646324872970581,0.9369485974311829,0.03125
base_model.model.backbone.stages.2.blocks.1.attn,,"(1280, 1408)",1408,1280,1497.4444580078125,0.22747506280518526,44,77,5.775506019592285,15.33481216430664,0.4267524182796478,0.5865762233734131,0.7488469481468201,0.8646324872970581,0.9369485974311829,0.03125
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.base_layer,"(5632, 1408)","(1280, 5632)",5632,1280,1652.927001953125,0.10183258337518707,38,66,4.263123512268066,11.937909126281738,0.4677509367465973,0.6216844916343689,0.7714378833770752,0.8803923726081848,0.9483035206794739,0.006747159090909091
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_dropout.default,,"(1280, 1408)",1408,1280,318.2899475097656,0.32166622563614766,66,124,7.964848041534424,21.462848663330078,0.3606128990650177,0.5154686570167542,0.6846681833267212,0.8119275569915771,0.8983063101768494,0.046875
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,1642.5936279296875,46.25234072711448,1,2,1.0628808736801147,1.1288942098617554,0.9798214435577393,1.0,,,,0.125
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0.lora_B.default,"(5632, 8)","(1280, 5632)",5632,1280,2144.5947265625,2144594726562500.0,1,1,1.0001027584075928,1.0002055168151855,0.9999778270721436,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.0001775568181818182
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.0,"(5632, 1408)","(1280, 5632)",5632,1280,4636.53271484375,0.2856448613267304,31,55,3.376152992248535,7.569350719451904,0.5841208696365356,0.7048181891441345,0.8205613493919373,0.9062541127204895,0.9596842527389526,0.005504261363636364
base_model.model.backbone.stages.2.blocks.1.ffn.activate,,"(1280, 5632)",5632,1280,748.3771362304688,0.6488443908353916,109,240,6.428275108337402,20.68195343017578,0.36470386385917664,0.5017087459564209,0.6391026973724365,0.7669571042060852,0.8531620502471924,0.01935369318181818
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0.2,,"(1280, 5632)",5632,1280,748.3771362304688,0.6488443908353916,109,240,6.428275108337402,20.68195343017578,0.36470386385917664,0.5017087459564209,0.6391026973724365,0.7669571042060852,0.8531620502471924,0.01935369318181818
base_model.model.backbone.stages.2.blocks.1.ffn.layers.0,,"(1280, 5632)",5632,1280,748.3771362304688,0.6488443908353916,109,240,6.428275108337402,20.68195343017578,0.36470386385917664,0.5017087459564209,0.6391026973724365,0.7669571042060852,0.8531620502471924,0.01935369318181818
base_model.model.backbone.stages.2.blocks.1.ffn.layers.1,"(1408, 5632)","(1280, 1408)",1408,1280,1280.8328857421875,0.23081449054337905,74,141,5.87850284576416,18.028480529785156,0.39496347308158875,0.5266396999359131,0.6675595641136169,0.7985565662384033,0.885650098323822,0.052556818181818184
base_model.model.backbone.stages.2.blocks.1.ffn.layers.2,,"(1280, 1408)",1408,1280,1280.8328857421875,0.23081449054337905,74,141,5.87850284576416,18.028480529785156,0.39496347308158875,0.5266396999359131,0.6675595641136169,0.7985565662384033,0.885650098323822,0.052556818181818184
base_model.model.backbone.stages.2.blocks.1.ffn.layers,,"(1280, 1408)",1408,1280,1280.8328857421875,0.23081449054337905,74,141,5.87850284576416,18.028480529785156,0.39496347308158875,0.5266396999359131,0.6675595641136169,0.7985565662384033,0.885650098323822,0.052556818181818184
base_model.model.backbone.stages.2.blocks.1.ffn.dropout_layer,,"(1280, 1408)",1408,1280,1280.8328857421875,0.23081449054337905,74,141,5.87850284576416,18.028480529785156,0.39496347308158875,0.5266396999359131,0.6675595641136169,0.7985565662384033,0.885650098323822,0.052556818181818184
base_model.model.backbone.stages.2.blocks.1.ffn,,"(1280, 1408)",1408,1280,1280.8328857421875,0.23081449054337905,74,141,5.87850284576416,18.028480529785156,0.39496347308158875,0.5266396999359131,0.6675595641136169,0.7985565662384033,0.885650098323822,0.052556818181818184
base_model.model.backbone.stages.2.blocks.1,,"(1280, 1408)",1408,1280,408.2549133300781,0.40523766858199123,86,166,7.661551475524902,22.268667221069336,0.35878729820251465,0.5050672292709351,0.6532919406890869,0.7824848294258118,0.8718434572219849,0.061079545454545456
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.1,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.cpb_mlp,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.softmax,,"(5120, 32)",32,5120,8.766807724214232e-08,1.3861539940538123e-08,32,32,0.007681417278945446,30.863529205322266,0.0013004082720726728,0.0024201874621212482,0.004385918378829956,0.007625646889209747,,1.0
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.attn_drop,,"(5120, 32)",32,5120,8.766807724214232e-08,1.3861539940538123e-08,32,32,0.007681417278945446,30.863529205322266,0.0013004082720726728,0.0024201874621212482,0.004385918378829956,0.007625646889209747,,1.0
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,3635.75732421875,0.3513764499291115,104,172,7.642999649047852,25.805862426757812,0.32239776849746704,0.4595954716205597,0.6020037531852722,0.7296927571296692,0.8386191725730896,0.07386363636363637
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.proj_drop,,"(5120, 1408)",1408,5120,3635.75732421875,0.3513764499291115,104,172,7.642999649047852,25.805862426757812,0.32239776849746704,0.4595954716205597,0.6020037531852722,0.7296927571296692,0.8386191725730896,0.07386363636363637
base_model.model.backbone.stages.2.blocks.2.attn.w_msa,,"(5120, 1408)",1408,5120,3635.75732421875,0.3513764499291115,104,172,7.642999649047852,25.805862426757812,0.32239776849746704,0.4595954716205597,0.6020037531852722,0.7296927571296692,0.8386191725730896,0.07386363636363637
base_model.model.backbone.stages.2.blocks.2.attn.drop,,"(1280, 1408)",1408,1280,1764.8577880859375,0.35021688294725545,62,109,6.487089157104492,18.843223571777344,0.38521161675453186,0.5355508923530579,0.6894642114639282,0.8155665397644043,0.9041188955307007,0.04403409090909091
base_model.model.backbone.stages.2.blocks.2.attn,,"(1280, 1408)",1408,1280,1764.8577880859375,0.35021688294725545,62,109,6.487089157104492,18.843223571777344,0.38521161675453186,0.5355508923530579,0.6894642114639282,0.8155665397644043,0.9041188955307007,0.04403409090909091
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.base_layer,"(5632, 1408)","(1280, 5632)",5632,1280,2276.859619140625,0.12632167502615013,46,84,6.071031093597412,15.206171989440918,0.45357921719551086,0.6058799028396606,0.7526874542236328,0.8594890832901001,0.9309461712837219,0.008167613636363636
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.lora_dropout.default,,"(1280, 1408)",1408,1280,469.07403564453125,0.3780557705519527,88,169,7.760469913482666,22.579547882080078,0.3589235544204712,0.5029860138893127,0.652206540107727,0.7785294055938721,0.8685921430587769,0.0625
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,2042.5489501953125,44.25558515614934,1,2,1.0576913356781006,1.1178808212280273,0.9850363731384277,0.9999999403953552,,,,0.125
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0.lora_B.default,"(5632, 8)","(1280, 5632)",5632,1280,2775.0966796875,2775096679687500.0,1,1,1.0001131296157837,1.0002262592315674,0.9999799728393555,1.0,1.0,1.0,1.0,0.0001775568181818182
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.0,"(5632, 1408)","(1280, 5632)",5632,1280,6028.52001953125,0.334466271171913,40,74,3.928468942642212,10.067896842956543,0.5308675169944763,0.6598218083381653,0.7878227829933167,0.8795688152313232,0.9411020874977112,0.007102272727272727
base_model.model.backbone.stages.2.blocks.2.ffn.activate,,"(1280, 5632)",5632,1280,898.1261596679688,0.8118241579563004,131,278,6.441431522369385,22.122255325317383,0.34274160861968994,0.47525110840797424,0.6159388422966003,0.7458211183547974,0.8346474766731262,0.02325994318181818
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0.2,,"(1280, 5632)",5632,1280,898.1261596679688,0.8118241579563004,131,278,6.441431522369385,22.122255325317383,0.34274160861968994,0.47525110840797424,0.6159388422966003,0.7458211183547974,0.8346474766731262,0.02325994318181818
base_model.model.backbone.stages.2.blocks.2.ffn.layers.0,,"(1280, 5632)",5632,1280,898.1261596679688,0.8118241579563004,131,278,6.441431522369385,22.122255325317383,0.34274160861968994,0.47525110840797424,0.6159388422966003,0.7458211183547974,0.8346474766731262,0.02325994318181818
base_model.model.backbone.stages.2.blocks.2.ffn.layers.1,"(1408, 5632)","(1280, 1408)",1408,1280,1651.71240234375,0.32431519033907624,84,160,5.647397518157959,18.245376586914062,0.3784065246582031,0.5111051201820374,0.6559274792671204,0.7804238200187683,0.8719966411590576,0.05965909090909091
base_model.model.backbone.stages.2.blocks.2.ffn.layers.2,,"(1280, 1408)",1408,1280,1651.71240234375,0.32431519033907624,84,160,5.647397518157959,18.245376586914062,0.3784065246582031,0.5111051201820374,0.6559274792671204,0.7804238200187683,0.8719966411590576,0.05965909090909091
base_model.model.backbone.stages.2.blocks.2.ffn.layers,,"(1280, 1408)",1408,1280,1651.71240234375,0.32431519033907624,84,160,5.647397518157959,18.245376586914062,0.3784065246582031,0.5111051201820374,0.6559274792671204,0.7804238200187683,0.8719966411590576,0.05965909090909091
base_model.model.backbone.stages.2.blocks.2.ffn.dropout_layer,,"(1280, 1408)",1408,1280,1651.71240234375,0.32431519033907624,84,160,5.647397518157959,18.245376586914062,0.3784065246582031,0.5111051201820374,0.6559274792671204,0.7804238200187683,0.8719966411590576,0.05965909090909091
base_model.model.backbone.stages.2.blocks.2.ffn,,"(1280, 1408)",1408,1280,1651.71240234375,0.32431519033907624,84,160,5.647397518157959,18.245376586914062,0.3784065246582031,0.5111051201820374,0.6559274792671204,0.7804238200187683,0.8719966411590576,0.05965909090909091
base_model.model.backbone.stages.2.blocks.2,,"(1280, 1408)",1408,1280,613.5099487304688,0.4597228805610623,102,198,7.155301570892334,22.259078979492188,0.35968977212905884,0.4950958788394928,0.6387559175491333,0.7613810896873474,0.8531761169433594,0.07244318181818182
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.1,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.cpb_mlp,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.softmax,,"(5120, 32)",32,5120,6.064333035737945e-08,9.588552325087147e-09,32,32,0.0036764638498425484,31.165929794311523,0.0005848495056852698,0.0011184968752786517,0.0020843311212956905,0.003663552226498723,,1.0
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.attn_drop,,"(5120, 32)",32,5120,6.064333035737945e-08,9.588552325087147e-09,32,32,0.0036764638498425484,31.165929794311523,0.0005848495056852698,0.0011184968752786517,0.0020843311212956905,0.003663552226498723,,1.0
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,4642.02294921875,0.4010468541012957,103,172,7.932908058166504,24.73343849182129,0.3329606056213379,0.46572113037109375,0.6047269105911255,0.7320725917816162,0.8403977155685425,0.07315340909090909
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.proj_drop,,"(5120, 1408)",1408,5120,4642.02294921875,0.4010468541012957,103,172,7.932908058166504,24.73343849182129,0.3329606056213379,0.46572113037109375,0.6047269105911255,0.7320725917816162,0.8403977155685425,0.07315340909090909
base_model.model.backbone.stages.2.blocks.3.attn.w_msa,,"(5120, 1408)",1408,5120,4642.02294921875,0.4010468541012957,103,172,7.932908058166504,24.73343849182129,0.3329606056213379,0.46572113037109375,0.6047269105911255,0.7320725917816162,0.8403977155685425,0.07315340909090909
base_model.model.backbone.stages.2.blocks.3.attn.drop,,"(1280, 1408)",1408,1280,2329.70458984375,0.39133015516612374,62,109,6.436358451843262,17.693286895751953,0.40350082516670227,0.5492215752601624,0.6910914778709412,0.8126872181892395,0.9035455584526062,0.04403409090909091
base_model.model.backbone.stages.2.blocks.3.attn,,"(1280, 1408)",1408,1280,2329.70458984375,0.39133015516612374,62,109,6.436358451843262,17.693286895751953,0.40350082516670227,0.5492215752601624,0.6910914778709412,0.8126872181892395,0.9035455584526062,0.04403409090909091
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.base_layer,"(5632, 1408)","(1280, 5632)",5632,1280,4033.20068359375,0.19300583354643433,53,97,5.787909507751465,15.203437805175781,0.44914528727531433,0.5961290597915649,0.7356378436088562,0.8420752882957458,0.919373095035553,0.009410511363636364
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.lora_dropout.default,,"(1280, 1408)",1408,1280,678.8780517578125,0.4125385751012953,102,194,7.348393440246582,22.85759735107422,0.3558703362941742,0.4931378662586212,0.6381821632385254,0.7595332264900208,0.852224588394165,0.07244318181818182
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,2589.2880859375,28.94907908105199,1,2,1.059733510017395,1.1222264766693115,0.9836541414260864,0.9999999403953552,,,,0.125
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0.lora_B.default,"(5632, 8)","(1280, 5632)",5632,1280,3542.56787109375,3542567871093750.0,1,1,1.0000550746917725,1.0001100301742554,0.9999902844429016,1.0000001192092896,1.0000001192092896,1.0000001192092896,1.0000001192092896,0.0001775568181818182
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.0,"(5632, 1408)","(1280, 5632)",5632,1280,8279.2548828125,0.3961976145399187,48,90,4.441391944885254,12.105135917663574,0.485512912273407,0.6259143948554993,0.7558585405349731,0.8549928665161133,0.9260854721069336,0.008522727272727272
base_model.model.backbone.stages.2.blocks.3.ffn.activate,,"(1280, 5632)",5632,1280,1051.5177001953125,0.9618652163334219,143,301,6.302155494689941,21.34946632385254,0.351416677236557,0.4879005253314972,0.6216828227043152,0.7360464930534363,0.8255910277366638,0.025390625
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0.2,,"(1280, 5632)",5632,1280,1051.5177001953125,0.9618652163334219,143,301,6.302155494689941,21.34946632385254,0.351416677236557,0.4879005253314972,0.6216828227043152,0.7360464930534363,0.8255910277366638,0.025390625
base_model.model.backbone.stages.2.blocks.3.ffn.layers.0,,"(1280, 5632)",5632,1280,1051.5177001953125,0.9618652163334219,143,301,6.302155494689941,21.34946632385254,0.351416677236557,0.4879005253314972,0.6216828227043152,0.7360464930534363,0.8255910277366638,0.025390625
base_model.model.backbone.stages.2.blocks.3.ffn.layers.1,"(1408, 5632)","(1280, 1408)",1408,1280,2151.644775390625,0.4876413366022998,90,170,5.018529415130615,16.275436401367188,0.39343756437301636,0.5301310420036316,0.6633930206298828,0.7756718993186951,0.8652580380439758,0.06392045454545454
base_model.model.backbone.stages.2.blocks.3.ffn.layers.2,,"(1280, 1408)",1408,1280,2151.644775390625,0.4876413366022998,90,170,5.018529415130615,16.275436401367188,0.39343756437301636,0.5301310420036316,0.6633930206298828,0.7756718993186951,0.8652580380439758,0.06392045454545454
base_model.model.backbone.stages.2.blocks.3.ffn.layers,,"(1280, 1408)",1408,1280,2151.644775390625,0.4876413366022998,90,170,5.018529415130615,16.275436401367188,0.39343756437301636,0.5301310420036316,0.6633930206298828,0.7756718993186951,0.8652580380439758,0.06392045454545454
base_model.model.backbone.stages.2.blocks.3.ffn.dropout_layer,,"(1280, 1408)",1408,1280,2151.644775390625,0.4876413366022998,90,170,5.018529415130615,16.275436401367188,0.39343756437301636,0.5301310420036316,0.6633930206298828,0.7756718993186951,0.8652580380439758,0.06392045454545454
base_model.model.backbone.stages.2.blocks.3.ffn,,"(1280, 1408)",1408,1280,2151.644775390625,0.4876413366022998,90,170,5.018529415130615,16.275436401367188,0.39343756437301636,0.5301310420036316,0.6633930206298828,0.7756718993186951,0.8652580380439758,0.06392045454545454
base_model.model.backbone.stages.2.blocks.3,,"(1280, 1408)",1408,1280,882.3880004882812,0.42106697812963295,112,212,7.025002956390381,22.183246612548828,0.35297009348869324,0.5035344958305359,0.6389634013175964,0.7540327310562134,0.8441560864448547,0.07954545454545454
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.1,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp.2,"(32, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.cpb_mlp,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.softmax,,"(5120, 32)",32,5120,8.512308369290622e-08,1.3459141133116919e-08,32,32,0.007241678424179554,30.682615280151367,0.001260980498045683,0.002320355735719204,0.004178931470960379,0.0071920789778232574,,1.0
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.attn_drop,,"(5120, 32)",32,5120,8.512308369290622e-08,1.3459141133116919e-08,32,32,0.007241678424179554,30.682615280151367,0.001260980498045683,0.002320355735719204,0.004178931470960379,0.0071920789778232574,,1.0
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,5708.5,0.5796924037488633,139,219,11.048673629760742,33.432716369628906,0.2846706211566925,0.42532286047935486,0.552741289138794,0.670744776725769,0.787226140499115,0.09872159090909091
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.proj_drop,,"(5120, 1408)",1408,5120,5708.5,0.5796924037488633,139,219,11.048673629760742,33.432716369628906,0.2846706211566925,0.42532286047935486,0.552741289138794,0.670744776725769,0.787226140499115,0.09872159090909091
base_model.model.backbone.stages.2.blocks.4.attn.w_msa,,"(5120, 1408)",1408,5120,5708.5,0.5796924037488633,139,219,11.048673629760742,33.432716369628906,0.2846706211566925,0.42532286047935486,0.552741289138794,0.670744776725769,0.787226140499115,0.09872159090909091
base_model.model.backbone.stages.2.blocks.4.attn.drop,,"(1280, 1408)",1408,1280,2686.610107421875,0.5586521687127919,83,142,8.593925476074219,21.93644142150879,0.3706466257572174,0.5251193642616272,0.6605596542358398,0.7742677330970764,0.8710095882415771,0.05894886363636364
base_model.model.backbone.stages.2.blocks.4.attn,,"(1280, 1408)",1408,1280,2686.610107421875,0.5586521687127919,83,142,8.593925476074219,21.93644142150879,0.3706466257572174,0.5251193642616272,0.6605596542358398,0.7742677330970764,0.8710095882415771,0.05894886363636364
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.base_layer,"(5632, 1408)","(1280, 5632)",5632,1280,5257.01123046875,0.21415402710718467,57,108,6.040228843688965,15.037368774414062,0.4522573947906494,0.6139779686927795,0.740720808506012,0.8375824689865112,0.9117053151130676,0.010120738636363636
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_dropout.default,,"(1280, 1408)",1408,1280,1011.0015869140625,0.4224677313386545,116,218,7.481146335601807,22.88686180114746,0.35075435042381287,0.5057794451713562,0.6379527449607849,0.7480078339576721,0.8383171558380127,0.08238636363636363
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_A.default,"(8, 1408)","(1280, 8)",8,1280,3337.56298828125,30.884296912692943,1,1,1.0416762828826904,1.0846953392028809,0.9881795644760132,1.0000001192092896,,,,0.125
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0.lora_B.default,"(5632, 8)","(1280, 5632)",5632,1280,4546.62841796875,4546628417968750.0,1,1,1.0000278949737549,1.0000559091567993,0.9999926090240479,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.9999999403953552,0.0001775568181818182
base_model.model.backbone.stages.2.blocks.4.ffn.layers.0.0,"(5632, 1408)","(1280, 5632)",5632,1280,10682.6396484375,0.4351769856584044,52,100,4.620974540710449,12.091861724853516,0.4898465871810913,0.6425639390945435,0.7628358006477356,0.8514256477355957,0.919570803642273,0.009232954545454546
