layer,weight_shape,feature_shape,feat_dim,num_samples,fro_norm,rel_change,dim_90,dim_95,stable_rank,participation_ratio,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,dim_90_frac
base_model.model.backbone.stages.0.blocks.0.ffn.layers.2,,"(1280, 352)",352,1280,42.66022872924805,0.11517983016646324,3,6,1.534218668937683,2.114548921585083,0.9319226741790771,0.9704079031944275,0.991461455821991,0.997751772403717,0.9994969367980957,0.008522727272727272
base_model.model.backbone.stages.0.blocks.0.ffn.layers,,"(1280, 352)",352,1280,42.66022872924805,0.11517983016646324,3,6,1.534218668937683,2.114548921585083,0.9319226741790771,0.9704079031944275,0.991461455821991,0.997751772403717,0.9994969367980957,0.008522727272727272
base_model.model.backbone.stages.0.blocks.0.ffn.dropout_layer,,"(1280, 352)",352,1280,42.66022872924805,0.11517983016646324,3,6,1.534218668937683,2.114548921585083,0.9319226741790771,0.9704079031944275,0.991461455821991,0.997751772403717,0.9994969367980957,0.008522727272727272
base_model.model.backbone.stages.0.blocks.0.ffn,,"(1280, 352)",352,1280,42.66022872924805,0.11517983016646324,3,6,1.534218668937683,2.114548921585083,0.9319226741790771,0.9704079031944275,0.991461455821991,0.997751772403717,0.9994969367980957,0.008522727272727272
base_model.model.backbone.stages.0.blocks.0,,"(1280, 352)",352,1280,77.19916534423828,0.16686728045084684,3,5,1.3223366737365723,1.7009985446929932,0.947600245475769,0.9787572622299194,0.9937070608139038,0.9983805418014526,0.9996544122695923,0.008522727272727272
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp.1,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp.2,"(8, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.cpb_mlp,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.softmax,,"(62720, 8)",8,62720,1.4062354125599086e-07,1.2705447658160884e-08,8,8,0.01970287226140499,7.725315570831299,0.011063983663916588,0.019388064742088318,,,,1.0
